follow_up_day,survival_probability,ci_lower,ci_upper
30,0.8823,0.8399,0.9140
60,0.8172,0.7682,0.8569
90,0.7627,0.7092,0.8076
180,0.6543,0.5892,0.7117
270,0.5757,0.4919,0.6507
